title,author,isbn,avg_rating,user_rating,date_read,shelf,url,cover_url,genres,description
Boomerang: Travels in the New Third World,"Lewis, Michael",0393343448,3.9,0,"Oct 04, 2024",read,https://www.goodreads.com/book/show/13707738-boomerang,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345046879l/13707738._SX50_.jpg,"['Nonfiction', 'Economics', 'Business', 'Finance', 'History', 'Politics', 'Travel']",
When Genius Failed: The Rise and Fall of Long-Term Capital Management,"Lowenstein, Roger",0375758259,4.2,5,"Jul 24, 2024",read,https://www.goodreads.com/book/show/10669.When_Genius_Failed,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435292091l/10669._SY75_.jpg,"['Finance', 'Business', 'Nonfiction', 'Economics', 'History', 'Money', 'Buisness']",
"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle",0735243344,4.13,5,"Aug 24, 2024",read,https://www.goodreads.com/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636978687l/58784475._SY75_.jpg,"['Fiction', 'Book Club', 'Contemporary', 'Romance', 'Audiobook', 'Literary Fiction', 'Historical Fiction']",
Liar's Poker,"Lewis, Michael",039333869X,4.15,4,not set,read,https://www.goodreads.com/book/show/7865083-liar-s-poker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348906209l/7865083._SX50_.jpg,"['Nonfiction', 'Business', 'Finance', 'Economics', 'History', 'Biography', 'Memoir']",
Flash Boys: A Wall Street Revolt,"Lewis, Michael",0393351599,4.14,5,"May 20, 2024",read,https://www.goodreads.com/book/show/24724602-flash-boys,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426093936l/24724602._SY75_.jpg,"['Nonfiction', 'Business', 'Finance', 'Economics', 'History', 'Audiobook', 'Technology']",
Trillions: How a Band of Wall Street Renegades Invented the Index Fund and Changed Finance Forever,"Wigglesworth, Robin",0593087682,3.98,4,not set,read,https://www.goodreads.com/book/show/56377179-trillions,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1608628043l/56377179._SY75_.jpg,"['Finance', 'Economics', 'Business', 'Nonfiction', 'History', 'Money', 'Personal Finance']",
Gone Girl,"Flynn, Gillian",0307588378,4.14,5,not set,read,https://www.goodreads.com/book/show/19288043-gone-girl,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139l/19288043._SY75_.jpg,"['Fiction', 'Mystery', 'Thriller', 'Book Club', 'Mystery Thriller', 'Crime', 'Suspense']",
The Hunger Games,"Collins, Suzanne",,4.34,5,not set,read,https://www.goodreads.com/book/show/2767052-the-hunger-games,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SX50_.jpg,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']",
The Great Gatsby,"Fitzgerald, F. Scott",0743273567,3.93,4,not set,read,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738790966l/4671._SY75_.jpg,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Romance', 'Literature', 'Novels']",
Harry Potter and the Philosopher’s Stone,"Rowling, J.K.",,4.47,5,not set,read,https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170803558l/72193._SX50_SY75_.jpg,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']",
Fifty Shades of Grey,"James, E.L.",1612130291,3.67,3,not set,read,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843l/10818853._SX50_.jpg,"['Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Erotica']",
